Well Name,Stage #,Stage Time hrs,Total Stage Proppant,Total Stage Volume bbl,Avg Stage Pressure,Avg Stage Rate,Max Stage Pressure,Max Stage Rate bpm,Avg HHP
"TECPETROL FP-1286,FORTIN DE PIEDR",18,2.566666667,510600,9705.238095,10894,71,11210,76,18953.05072
"YPF RDMN-217(H),RINCON DEL MANG",22,2.15,208900,6858,11048,70,11757,82,18950.25729
"TECPETROL FP-1287,FORTIN DE PIEDR",9,2.483333333,503600,9528.261905,11045,70,11309,70,18945.11149
"TECPETROL FP-1281,FORTIN DE PIEDR",5,2.816666667,507500,1069.904762,11082,69.73,11557,70,18935.25753
YPF LCav-70,6,2.233333333,532500,9033.380952,10732,72,11244,80,18934.1828
YPF SOIL-361,2,2.333333333,535700,9227.666667,10732,72,11472,76,18934.1828
SHE.Nq.SB-1036(h),26,2.116666667,533100,7926.52381,11001,70.23,11590,73.5,18931.64004
"TECPETROL FP-1285,FORTIN DE PIEDR",1,2.766666667,515700,9764.595238,11036,70,11337,71,18929.6741
"TECPETROL FP-1286,FORTIN DE PIEDR",8,2.683333333,516300,10182.40476,11035,70,11318,72,18927.95883
SHE.Nq.SB-1034(h),14,1.816666667,428900,9358.404762,10877,71,11433,73,18923.47464
SHE.Nq.SB-1033(h),7,2.333333333,534600,8441.952381,11031,70,11310,71,18921.09777
YPF SOIL-360,20,2.333333333,537400,9196.880952,10723,72,11024,77,18918.30434
YPF LCav-71,26,1.583333333,418300,7174.857143,9188,84,9995,95,18911.83533
YPF LCav-70,16,2.266666667,453800,8621.714286,10571,73,10911,80,18909.16442
YPF RDMN-82,4,3.083333333,525000,12581,10279,75,11216,77,18890.59054
YPF SOIL-361,16,2.35,538900,9145.738095,10559,73,11040,76,18887.69909
"TECPETROL FP-1285,FORTIN DE PIEDR",14,2.583333333,510900,9924.285714,11010,70,11300,76,18885.07719
YPF.Nq.LCav-69(h),25,1.883333333,351200,7796.357143,10407,74,11160,83,18870.81598
YPF RDMN-83,9,3.233333333,518000,12918.52381,10824,71.1,11300,83,18857.78976
"TECPETROL FP-1285,FORTIN DE PIEDR",2,2.45,507900,8981,10932,70.33,11262,71,18839.68537
YPF SOIL-362,9,2.366666667,536300,9095.857143,10528,73,10990,73,18832.247
"TECPETROL FP-1287,FORTIN DE PIEDR",12,2.35,497100,9243.52381,10979,70,11323,74,18831.90395
"TECPETROL FP-1281,FORTIN DE PIEDR",11,2.683333333,499500,9948.904762,10977,70,11310,70,18828.47341
"TECPETROL FP-1283,FORTIN DE PIEDR",12,2.716666667,499500,9948.904762,10977,70,0,75,18828.47341
SHE.Nq.SB-1034(h),9,1.916666667,429900,6769.690476,10902,70.47,11307,71.5,18825.38446
YPF SOIL-361,26,2.3,538100,8820.142857,10820,71,11233,73,18824.30777
SHE.Nq.SB-1044(h),15,2.033333333,534700,7511.47619,10925,70.31,11359,74,18822.26783
"YPF LLL-1606H,LOMA CAMPANA",5,2.85,532400,10579.11905,10012,76.7,11220,84,18816.96643
"YPF LLL-1607H,LOMA CAMPANA",2,3.183333333,537600,10110.42857,10603,72.4,10941,76,18810.51703
"YPF RDMN-214(H),RINCON DEL MANG",18,2.516666667,486500,9732.52381,10965,70,11275,84,18807.89022
"TECPETROL FP-1285,FORTIN DE PIEDR",21,2.6,4110,9471.166667,10957,70,12150,75,18794.1681
"YPF LLL-1604H,LOMA CAMPANA",1,2.55,534000,9479.047619,10651,72,11396,75,18791.27665
SHE.Nq.SB-1033(h),22,2.083333333,526600,7762.642857,11070,69.2,11411,71.7,18770.9875
"TECPETROL FP-1287,FORTIN DE PIEDR",17,2.6,520100,9514,10954,69.84,11453,70,18746.07596
"YPF LLL-1607H,LOMA CAMPANA",1,1.966666667,415400,7720.952381,10616,72,11050,77,18729.52708
SHE.Nq.SB-1041(h),4,3.833333333,5349,10864.33333,10916,70,11710,73,18723.8422
SHE.Nq.SB-1033(h),18,2.116666667,529000,7579.833333,11070,69,11373,69,18716.73609
YPF LCav-840,12,2.016666667,532500,8783.738095,9486,80.5,9850,82,18711.66381
YPF.Nq.LCav-69(h),26,1.95,255900,7535.857143,10754,71,11433,82,18709.48297
"TECPETROL FP-1286,FORTIN DE PIEDR",14,2.916666667,503000,10010.02381,11050,69,11412,70,18682.92085
SHE.Nq.SB-1034(h),2,2.433333333,427900,7697,10892,69.98,11258,73.3,18677.33791
"YPF LLL-1603H,LOMA CAMPANA",32,2.25,512000,9016.666667,10300,74,11400,80,18676.7949
SHE.Nq.SB-1044(h),6,2.416666667,5337,8728.190476,10880,70,11430,73,18662.09262
YPF SOIL-360,4,2.5,531100,9227.547619,10724,71,11157,72,18657.28988
