SETresp,IdCiclo,SAP,IdCL,TipoBaja,Categoria,Componente,Motivo,FechaHora,PAD,Destino,ConCL
"2",,"13038517",,"PREV","PM / Service","N/A","devolucion a set 1 / revision de iem ","5/21/2022 5:09 PM","SB-52","Base Añelo","No"
"3",,"12650542",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Baja a base por falta de insertos Q10X de descarga","5/21/2022 9:24 PM","LCav-26","Base Añelo","No"
"3",,"12157794",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Falta de repuestos (valvulas)","5/22/2022 12:53 AM","LCav-26","Base Añelo","No"
"3",,"12506570",,"REAC","Falla mayor (Equipo no operativo)","Motor","Falla en motor se observa mezcla de aceite con gasoil","5/22/2022 5:12 AM","LCav-26","Base Añelo","No"
"2",,"12468283",,"MOV","Mov a otra locacion sin falla","N/A","baja a base añelo por devilucion al set 1 ","5/23/2022 6:11 AM","SB-52","Base Añelo","No"
"2",,"13057732",,"PREV","Inspeccion","Motor","baja  pedida  por  iem para  revision de  trubos. hay que  cambiar  bridas de  fluid-end","5/23/2022 2:54 PM","SB-52","Base Añelo","No"
"3",,"11754314",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","prensa agarrado numero 2","5/23/2022 10:25 PM","LCav-26","Base Añelo","No"
"3",,"11597004",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Falla en esparrago de fluid end","5/23/2022 10:35 PM","LCav-26","Base Añelo","No"
"3",,"12589516",,"MOV","Mov a otra locacion sin falla","N/A","Baja a SET 1","5/24/2022 12:42 AM","LCav-26","Base Añelo","No"
"3",,"12999794",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","esparrago cortado","5/24/2022 3:26 AM","LCav-26","Base Añelo","No"
"2",,"11754299",,"MOV","Mov a otra locacion sin falla","N/A","se presta a set 3","5/24/2022 6:23 AM","SB-52","Se dirige a otro pozo","No"
"2",,"11691538",,"MOV","Mov a otra locacion sin falla","N/A","se devuelve al set 3","5/24/2022 6:25 AM","SB-52","Se dirige a otro pozo","No"
"3",,"11970698",,"MOV","Mov a otra locacion sin falla","N/A","Traslado a Shell","5/25/2022 1:56 AM","LCav-26","Se dirige a otro pozo","No"
"2",,"12002163",,"REAC","Falla mayor (Equipo no operativo)","Sistema eléctrico o electronico","pedida por iem","5/26/2022 3:22 AM","SB-52","Base Añelo","No"
"1",,"11542695",,"MOV","DTM sin falla","N/A","Se agrego bomba sin querer","5/26/2022 6:28 AM","RDMN-40","Base Añelo","No"
"3",,"11691240",,"PREV","PM / Service","N/A","pedido de iem pm","5/26/2022 3:12 PM","LCav-26","Base Añelo","No"
