PSL,SubPSL,SAP Profit Center,Plant,Material,Description,SAP Base UOM,Unit Value L31
Production Enhancement,Other Production Enhancement,6001070700,1608,102514911,"THRM TIE,SST,3/16 IN WIDE x 7.9 IN LG,18",EA,1.32
Production Enhancement,Frac / Acid Summary,6001010016,1608,102516418,"BAR,HP MANF,SPRT, MANF TRLR",EA,213.06
Production Enhancement,Other Production Enhancement,6001070700,1608,102517095,"HARNESS, WIRE, FOR ESX-3XL",EA,564.49
Production Enhancement,Frac / Acid Summary,6001010016,1608,102517174,"TAG,RFID,SST CARR,ADEPT 400 US",EA,4.22
Production Enhancement,Other Production Enhancement,6001070700,1608,102517532,"COMPR,AIR,TWIN CYL,MODEL BA-922,C13",EA,4745.69
Production Enhancement,Other Production Enhancement,6001070700,1608,102519091,"EXP JT,REDC,CONC,12INX10INX8IN LNG,EPDM",EA,1720.94
Production Enhancement,Other Production Enhancement,6001070700,1608,102524289,"CBL,EXTND BTRY PACK,WITH CONN,USED WITH",EA,156.05
Production Enhancement,Other Production Enhancement,6001070700,1608,102524295,"MT,19INCH RACK EAR,INTELLIPOWER UPS AND",EA,29.13
Production Enhancement,Other Production Enhancement,6001070700,1608,102525193,"CRSHD STRUCT,PWR END,HT-2000,WITH SLIDES",EA,15475.67
Production Enhancement,Frac / Acid Summary,6001010016,1608,102526988,"BRG,NEEDLE-ROLLER,THR,STL,1-15/16X1-1/4",EA,3.36
Production Enhancement,Other Production Enhancement,6001070700,1608,102530313,"VLV ASSY,HYDR,RLF,DIR ACT,500-3000 PSI",EA,275.86
Production Enhancement,Other Production Enhancement,6001070700,1608,102530540,"RES,FAN SPEED CONT,24VDC,THERMOKING AIR",EA,81.14
Production Enhancement,Other Production Enhancement,6001070700,1608,102531437,"STOCKABLE MDL,PUMP,MTR,ROPER 73202,APT",EA,4631.99
Production Enhancement,Other Production Enhancement,6001070700,1608,102532676,"STOCK MDL,HYDR PUMP,38 CC PARKER, APT",EA,1736.22
Production Enhancement,Other Production Enhancement,6001070700,1608,102534647,"COMPR,AC,MDL TM31/DKS32,USE ON 40FT TCC",EA,1591.26
Production Enhancement,Other Production Enhancement,6001070700,1608,102538255,"MDL,DAQ,USB PWR,8 DIO, 8 ANLG IN,EXT TMP",EA,529.95
Production Enhancement,Frac / Acid Summary,6001010016,1608,102539544,"TABLET,RUGGED, REF SPEC D01074950",EA,3119.73
Production Enhancement,Other Production Enhancement,6001070700,1608,102540302,"ASSM, CABLE, 4PR CAT5,M12 8P,X CODE,50FT",EA,246.64
Production Enhancement,Other Production Enhancement,6001070700,1608,102540303,"ASSM, CABLE, M12 4P,A CODE, 50FT",EA,140.66
Production Enhancement,Other Production Enhancement,6001070700,1608,102541839,"SCR,THD FRM,PAN HD,PH,4-24X1,18-8 SS",EA,0.05
Production Enhancement,Frac / Acid Summary,6001010016,1608,102542146,"TL,ASSY,PKG SLV,INSTL,REMOVAL,Q10,HT-200",EA,9320.88
Production Enhancement,Other Production Enhancement,6001070700,1608,102542753,"LOADCELL ASSY,75,000 POUNDS,16 IN,DBL",EA,1087.11
Production Enhancement,Frac / Acid Summary,6001010016,1608,102543648,"SHIM,12 GA,0.105,FLUID END,XHD SEAT,Q10",EA,5.48
Production Enhancement,Other Production Enhancement,6001070700,1608,102545272,"GUARD,HT-2000 FLUID END SNSRS",EA,62.62
Production Enhancement,Frac / Acid Summary,6001010016,1608,102546165,"KIT,FK TRK MODS,WLS TABLET PC,PROPPANT M",EA,884.9
Production Enhancement,Frac / Acid Summary,6001010016,1608,102546739,"COV,PROT CYL HEAD,4.000 FLUID END,Q10,EX",EA,154.86
Production Enhancement,Frac / Acid Summary,6001010016,1608,102547038,"INSR VLV,5 IN,HT-2000,NO 6 FRAC,URETHN",EA,14.86
Production Enhancement,Frac / Acid Summary,6001010016,1608,102547039,"INSR VLV,4.5 IN,HT-400,NO 5 FRAC,URETHN",EA,13.6
Production Enhancement,Frac / Acid Summary,6001010016,1608,102547040,"INSR VLV,4 IN,HT-400,NO 3 FRAC,URETHN 31",EA,9.86
Production Enhancement,Other Production Enhancement,6001070700,1608,102548756,MOBIL SHC RARUS 32 OIL,EA,149.16
Production Enhancement,Other Production Enhancement,6001070700,1608,102549489,"TERMINAL BLOCK, 250 OHM RESISTOR, CUSTOM",EA,8.11
Production Enhancement,Frac / Acid Summary,6001010016,1608,102554272,"GDE,BOT,VLV SEAT INSRG TL,XHD,NO.7,SOFT",EA,218.23
Production Enhancement,Other Production Enhancement,6001070700,1608,102557164,"ACTR,RTRY,10000 IN-LB TRQ,UNIBODY",EA,4765.61
Production Enhancement,Other Production Enhancement,6001070700,1608,102557165,"ACTR LVR,OPEN,GATE ASSY,PROPPANT MGT EFF",EA,176.37
Production Enhancement,Other Production Enhancement,6001070700,1608,102557166,"ACTR LVR,CLOSE,GATE ASSY,PROPPANT MGT EF",EA,221.81
Production Enhancement,Frac / Acid Summary,6001010016,1608,102558531,"ROD,SEAT PULLER,Q10,4.000,4.500",EA,796.54
Production Enhancement,Frac / Acid Summary,6001010016,1608,102558810,"ADAPTOR SEAT PULLER TPRD NO. 3 AND 4,Q10",EA,240.39
Production Enhancement,Frac / Acid Summary,6001010016,1608,102558832,"SEAT PULLER TAPPERED, NO.4",EA,954.57
Production Enhancement,Frac / Acid Summary,6001010016,1608,102558885,"HDL SEAT PULLER TPRD NO. 3,4,Q10 FLUID E",EA,174.57
Production Enhancement,Other Production Enhancement,6001070700,1608,102559506,"FAN,FBRGL,72 IN DIA,BLWR,8 BLD,UNIBOSS",EA,987.59
Production Enhancement,Frac / Acid Summary,6001010016,1608,102562008,"SIGN,WARNING,WELLHEAD VALVE,SPANISH",EA,29.84
Production Enhancement,Frac / Acid Summary,6001010016,1608,102564143,"RING,STL,7 IN 15000 PSI WKG PRESS BIG IN",EA,296.35
Production Enhancement,Other Production Enhancement,6001070700,1608,102564577,"TERM BLK,KNIFE DISCONN, DIN RL, UT4-MT",EA,1.88
Production Enhancement,Other Production Enhancement,6001070700,1608,102564895,"GRBX,RTANG,1.5:1 GR,OIL PMP,LWR VENT",EA,4673.17
