SAP,Equipo,Patente,SET,,,,,,,,
11580946,HT,LZX345,SET 3,,,,,,,,
11596999,HT,LZX338,SET 3,,,,,,,,
11905678,HT,AA157LH,SET 3,,,,,,,,
12506567,HT,PAG827,CR,,,,,,,,
12622242,HT,AA297PT,SET 3,,,,,,,,
12622830,HT,AA743IK,CR,,,,,,,,
12822822,HT,sin dominio,CR,,,,,,,,
12999794,HT,AD871HI,SET 3,,,,,,,,
12999797,HT,AD871HD,SET 3,,,,,,,,
12999800,HT,AE460RI,SET 3,,,,,,,,
11597004,HT,LZX337,SET 3,,,,,,,,
11597094,HT,LZX344,SET 2,,,,,,,,
11691235,HT,LZX350,SET 2,,,,,,,,
11691240,HT,LZX342,SET 3,,,,,,,,
11691538,HT,LZX346,SET 2,,,,,,,,
11970564,HT,AA157LK,SET 2,,,,,,,,
12824542,HT,sin dominio,CR,,,,,,,,
11970888,HT,AA157KL,SET 2,,,,,,,,
11999406,HT,AA184BQ,SET P,,,,,,,,
11625760,HT,LZX350,SET 2,,,,,,,,
11691523,HT,LZX351,SET 2,,,,,,,,
11691533,HT,LZX352,SET 2,,,,,,,,
12585212,IRON TRUCK,OHG256,SET 1,,,,,,,,
12363088,IRON TRUCK,NET826,SET 1,,,,,,,,
13149866,IRON TRUCK,AD406JD,SET 2,,,,,,,,
13149864,IRON TRUCK,AD203TK,SET 3,,,,,,,,
11915777,MANIFOLD,LZX341,SET 4,,,,,,,,
12231108,MANIFOLD,PLO505,SET 4,,,,,,,,
12694766,MANIFOLD,PIR938,SET 4,,,,,,,,
12965544,MANIFOLD KINECT,AD616NX,SET 4,,,,,,,,
12965543,MANIFOLD KINECT,AD530XG,SET 4,,,,,,,,
13056273,MANIFOLD KINECT,AD742RO,SET 4,,,,,,,,
13056272,MANIFOLD KINECT,AD742RV,SET 4,,,,,,,,
13037034,MANIFOLD KINECT,AE314DN,SET 4,,,,,,,,
13037035,MANIFOLD KINECT,AD742RQ,SET 4,,,,,,,,
11989969,MMover,AA230SU,SET 4,,,,,,,,
11718384,MMover,sin dominio,SET 4,,,,,,,,
12041989,MMover,AA230SW,SET 4,,,,,,,,
12572850,MMover,PEC308,SET 4,,,,,,,,
11718382,MMover,sin dominio,SET 4,,,,,,,,
11597163,MMover,sin dominio,SET 4,,,,,,,,
12020128,MMover,sin dominio,SET 4,,,,,,,,
12562735,MMover,AA725CR,SET 4,,,,,,,,
11370846,MMover,sin dominio,SET 4,,,,,,,,
11923372,MMover,sin dominio,SET 4,,,,,,,,
12041987,MMover,AA230ST,SET 4,,,,,,,,
12572846,MMover,PEC307,SET 4,,,,,,,,
10084283,MMover,CYX581,SET 4,,,,,,,,
12824832,Multifuncion,OVT593,SET 3,,,,,,,,
13083851,Multifuncion,AC983CL,SET 3,,,,,,,,
11501080,Q10-X,sin dominio,SET 1,,,,,,,,
11501481,Q10-X,sin dominio,SET 1,,,,,,,,
11516541,Q10-X,sin dominio,SET 1,,,,,,,,
11528715,Q-10,sin dominio,SET 1,,,,,,,,
11528725,Q10-X,sin dominio,SET 1,,,,,,,,
11528735,Q10-X,sin dominio,SET 1,,,,,,,,
11528740,Q10-X,sin dominio,SET 1,,,,,,,,
11542685,Q10-X,sin dominio,SET 1,,,,,,,,
11542695,Q10-X,sin dominio,SET 1,,,,,,,,
11568617,Q10-X,sin dominio,SET 1,,,,,,,,
12002163,Q10-X,AE314DO,SET 1,,,,,,,,
12002183,Q-10,sin dominio,SET 1,,,,,,,,
12108478,Q10-X,sin dominio,SET 1,,,,,,,,
12129757,Q10-X,AE460RH,SET 1,,,,,,,,
12129760,Q10-X,sin dominio,SET 1,,,,,,,,
13038511,Q10-X,AE320QN,SET 1,,,,,,,,
13038517,Q10-X,AE320RX,SET 1,,,,,,,,
11317872,Q10-X,AD742TM,SET 2,,,,,,,,
13038514,Q10-X,AD742TH,SET 2,,,,,,,,
13038523,Q10-X,AD742UA,SET 2,,,,,,,,
13038529,Q10-X,AD742TQ,SET 2,,,,,,,,
